        TIME                    X      Y      RAWX   RAWY   DETX   DETY
        s                       pixel  pixel  pixel  pixel  pixel  pixel
    265   4.729405279781234E+08   -120   -630    452     98    453     99
    266   4.729405279781234E+08     86   -405    188    252    189    253
    267   4.729405279781234E+08   -327   -340    562    437    563    438
    268   4.729405279781234E+08    201   -396     76    225     77    226
    269   4.729405279781234E+08   -150   -605    473    131    474    132
    270   4.729405279781234E+08   -226   -166    414    573    415    574
    271   4.729405279781234E+08      7   -191    199    480    200    481
    272   4.729405279781234E+08   -100   -612    427    109    428    110
    273   4.729405279781234E+08    205   -218     18    394     19    395
    274   4.729405279781234E+08   -186   -628    514    119    515    120
    275   4.729405279781234E+08     48   -255    180    406    181    407
    276   4.729405279781234E+08   -215   -188    410    548    411    549
    277   4.729405279781234E+08    -67    -94    241    594    242    595
    278   4.729405279781234E+08    -86   -274    313    427    314    428
    279   4.729405279781234E+08      0   -173    201    499    202    500
    280   4.729405279781234E+08   -179   -422    446    314    447    315
    281   4.729405304854717E+08   -140   -547    446    183    447    184
    282   4.729405304854717E+08    127   -171     79    463     80    464
    283   4.729405304854717E+08      3   -445    278    239    279    240
    284   4.729405304854717E+08     84   -198    127    450    128    451
    285   4.729405329927517E+08   -197   -661    533     92    534     93
    286   4.729405329927517E+08   -252   -445    522    314    523    315
    287   4.729405329927517E+08   -141   -547    446    183    447    184
    288   4.729405329927517E+08   -259   -180    450    569    451    570
    289   4.729405329927517E+08      7   -191    199    480    200    481
    290   4.729405329927517E+08    -33   -175    233    507    234    508
    291   4.729405329927517E+08   -222   -325    458    419    459    420
    292   4.729405329927517E+08   -116   -556    425    167    426    168
    293   4.729405355000717E+08      7   -281    226    393    227    394
    294   4.729405355000717E+08   -262   -221    465    530    466    531
    295   4.729405355000717E+08    115   -161     88    476     89    477
    296   4.729405355000717E+08   -259   -469    536    293    537    294
    297   4.729405355000717E+08  -8192   -173    201    499    202    500
    298   4.729405380073916E+08    163   -356    100    275    101    276
    299   4.729405380073916E+08   -128   -481    414    243    415    244
    300   4.729405380073916E+08   -141   -547    446    183    447    184
    301   4.729405380073916E+08   -291   -235    497    526    498    527
    302   4.729405405147317E+08   -114   -177    311    529    312    530
    303   4.729405405147317E+08    -11   -635    349     62    350     63
    304   4.729405405147317E+08    -38   -340    287    351    288    352
    305   4.729405405147317E+08     79   -620    259     49    260     50
    306   4.729405405147317E+08    218   -577    114     48    115     49
    307   4.729405405147317E+08    -27   -217    240    465    241    466
    308   4.729405405147317E+08    211   -402     68    217     69    218
